month,year,rainy_day,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12
1,2009,4,,,,,,,,,,,,
1,2010,9,4.0,,,,,,,,,,,
1,2011,3,9.0,4.0,,,,,,,,,,
1,2012,1,3.0,9.0,4.0,,,,,,,,,
1,2013,0,1.0,3.0,9.0,4.0,,,,,,,,
1,2014,1,0.0,1.0,3.0,9.0,4.0,,,,,,,
1,2015,2,1.0,0.0,1.0,3.0,9.0,4.0,,,,,,
1,2016,6,2.0,1.0,0.0,1.0,3.0,9.0,4.0,,,,,
1,2017,4,6.0,2.0,1.0,0.0,1.0,3.0,9.0,4.0,,,,
1,2018,1,4.0,6.0,2.0,1.0,0.0,1.0,3.0,9.0,4.0,,,
1,2019,5,1.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0,9.0,4.0,,
1,2020,1,5.0,1.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0,9.0,4.0,
2,2009,0,1.0,5.0,1.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0,9.0,4.0
2,2010,1,0.0,1.0,5.0,1.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0,9.0
2,2011,7,1.0,0.0,1.0,5.0,1.0,4.0,6.0,2.0,1.0,0.0,1.0,3.0
2,2012,0,7.0,1.0,0.0,1.0,5.0,1.0,4.0,6.0,2.0,1.0,0.0,1.0
2,2013,7,0.0,7.0,1.0,0.0,1.0,5.0,1.0,4.0,6.0,2.0,1.0,0.0
2,2014,6,7.0,0.0,7.0,1.0,0.0,1.0,5.0,1.0,4.0,6.0,2.0,1.0
2,2015,1,6.0,7.0,0.0,7.0,1.0,0.0,1.0,5.0,1.0,4.0,6.0,2.0
2,2016,0,1.0,6.0,7.0,0.0,7.0,1.0,0.0,1.0,5.0,1.0,4.0,6.0
2,2017,0,0.0,1.0,6.0,7.0,0.0,7.0,1.0,0.0,1.0,5.0,1.0,4.0
2,2018,4,0.0,0.0,1.0,6.0,7.0,0.0,7.0,1.0,0.0,1.0,5.0,1.0
2,2019,5,4.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,1.0,0.0,1.0,5.0
3,2009,14,5.0,4.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,1.0,0.0,1.0
3,2010,5,14.0,5.0,4.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,1.0,0.0
3,2011,5,5.0,14.0,5.0,4.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,1.0
3,2012,3,5.0,5.0,14.0,5.0,4.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0
3,2013,4,3.0,5.0,5.0,14.0,5.0,4.0,0.0,0.0,1.0,6.0,7.0,0.0
3,2014,10,4.0,3.0,5.0,5.0,14.0,5.0,4.0,0.0,0.0,1.0,6.0,7.0
3,2015,16,10.0,4.0,3.0,5.0,5.0,14.0,5.0,4.0,0.0,0.0,1.0,6.0
3,2016,4,16.0,10.0,4.0,3.0,5.0,5.0,14.0,5.0,4.0,0.0,0.0,1.0
3,2017,13,4.0,16.0,10.0,4.0,3.0,5.0,5.0,14.0,5.0,4.0,0.0,0.0
3,2018,10,13.0,4.0,16.0,10.0,4.0,3.0,5.0,5.0,14.0,5.0,4.0,0.0
3,2019,4,10.0,13.0,4.0,16.0,10.0,4.0,3.0,5.0,5.0,14.0,5.0,4.0
4,2009,12,4.0,10.0,13.0,4.0,16.0,10.0,4.0,3.0,5.0,5.0,14.0,5.0
4,2010,15,12.0,4.0,10.0,13.0,4.0,16.0,10.0,4.0,3.0,5.0,5.0,14.0
4,2011,15,15.0,12.0,4.0,10.0,13.0,4.0,16.0,10.0,4.0,3.0,5.0,5.0
4,2012,12,15.0,15.0,12.0,4.0,10.0,13.0,4.0,16.0,10.0,4.0,3.0,5.0
4,2013,18,12.0,15.0,15.0,12.0,4.0,10.0,13.0,4.0,16.0,10.0,4.0,3.0
4,2014,10,18.0,12.0,15.0,15.0,12.0,4.0,10.0,13.0,4.0,16.0,10.0,4.0
4,2015,17,10.0,18.0,12.0,15.0,15.0,12.0,4.0,10.0,13.0,4.0,16.0,10.0
4,2016,12,17.0,10.0,18.0,12.0,15.0,15.0,12.0,4.0,10.0,13.0,4.0,16.0
4,2017,12,12.0,17.0,10.0,18.0,12.0,15.0,15.0,12.0,4.0,10.0,13.0,4.0
4,2018,13,12.0,12.0,17.0,10.0,18.0,12.0,15.0,15.0,12.0,4.0,10.0,13.0
4,2019,11,13.0,12.0,12.0,17.0,10.0,18.0,12.0,15.0,15.0,12.0,4.0,10.0
5,2009,24,11.0,13.0,12.0,12.0,17.0,10.0,18.0,12.0,15.0,15.0,12.0,4.0
5,2010,19,24.0,11.0,13.0,12.0,12.0,17.0,10.0,18.0,12.0,15.0,15.0,12.0
5,2011,25,19.0,24.0,11.0,13.0,12.0,12.0,17.0,10.0,18.0,12.0,15.0,15.0
5,2012,22,25.0,19.0,24.0,11.0,13.0,12.0,12.0,17.0,10.0,18.0,12.0,15.0
5,2013,17,22.0,25.0,19.0,24.0,11.0,13.0,12.0,12.0,17.0,10.0,18.0,12.0
5,2014,26,17.0,22.0,25.0,19.0,24.0,11.0,13.0,12.0,12.0,17.0,10.0,18.0
5,2015,20,26.0,17.0,22.0,25.0,19.0,24.0,11.0,13.0,12.0,12.0,17.0,10.0
5,2016,26,20.0,26.0,17.0,22.0,25.0,19.0,24.0,11.0,13.0,12.0,12.0,17.0
5,2017,24,26.0,20.0,26.0,17.0,22.0,25.0,19.0,24.0,11.0,13.0,12.0,12.0
