date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-01-01,0.0,27.0,12.0,66.5,1013.875,19.041666666666668,8.583333333333334,6.708333333333333,84.20833333333333,6.958333333333333,11.041666666666666,21.5,0.0,11.6,5.0,2009,1,1,False
2009-01-02,0.0,27.0,16.0,69.91666666666667,1014.3333333333334,20.625,7.833333333333333,7.958333333333333,99.29166666666667,36.416666666666664,12.125,21.208333333333332,0.0,11.6,5.0,2009,1,2,False
2009-01-03,0.0,25.0,15.0,71.0,1015.0,20.166666666666668,8.083333333333334,8.333333333333334,99.41666666666667,42.0,12.0,20.625,0.0,11.6,5.0,2009,1,3,False
2009-01-04,0.0,27.0,15.0,67.29166666666667,1014.25,20.791666666666668,9.0,7.625,83.83333333333333,38.166666666666664,11.541666666666666,21.416666666666668,0.0,11.6,6.0,2009,1,4,False
2009-01-05,0.0,28.0,16.0,67.08333333333333,1012.7083333333334,20.666666666666668,8.75,7.5,104.875,25.125,11.416666666666666,21.625,0.0,11.6,5.0,2009,1,5,False
2009-01-06,0.0,28.0,13.0,60.458333333333336,1012.875,19.791666666666668,9.0,6.916666666666667,105.5,5.083333333333333,12.041666666666666,21.625,0.0,11.6,5.0,2009,1,6,False
2009-01-07,0.2,26.0,15.0,79.29166666666667,1014.1666666666666,19.708333333333332,8.625,8.291666666666666,110.91666666666667,56.208333333333336,11.916666666666666,20.166666666666668,0.0,10.2,5.0,2009,1,7,True
2009-01-08,2.1,25.0,18.0,84.91666666666667,1015.9583333333334,20.208333333333332,9.25,11.375,109.91666666666667,61.791666666666664,16.083333333333332,20.333333333333332,0.0,7.3,6.0,2009,1,8,True
2009-01-09,0.0,27.0,17.0,70.20833333333333,1016.375,21.375,10.0,12.083333333333334,99.29166666666667,22.458333333333332,16.958333333333332,21.708333333333332,0.0,11.6,6.0,2009,1,9,False
2009-01-10,0.0,27.0,16.0,66.25,1016.2083333333334,20.666666666666668,10.0,13.541666666666666,90.54166666666667,27.0,19.0,21.0,0.0,11.6,6.0,2009,1,10,False
2009-01-11,0.0,27.0,15.0,69.79166666666667,1016.4583333333334,20.75,9.0,11.375,91.83333333333333,20.458333333333332,15.458333333333334,21.291666666666668,0.0,11.6,6.0,2009,1,11,False
2009-01-12,0.0,27.0,15.0,62.166666666666664,1017.8333333333334,19.958333333333332,9.0,12.291666666666666,78.375,4.5,16.833333333333332,20.916666666666668,0.0,11.6,6.0,2009,1,12,False
2009-01-13,0.0,26.0,14.0,66.625,1018.5,19.458333333333332,8.666666666666666,15.375,81.08333333333333,10.875,21.875,19.75,0.0,11.6,5.0,2009,1,13,False
2009-01-14,0.0,25.0,14.0,70.95833333333333,1018.375,19.375,8.083333333333334,13.375,75.54166666666667,35.125,19.125,19.541666666666668,0.0,10.2,4.0,2009,1,14,False
2009-01-15,0.0,27.0,14.0,68.45833333333333,1018.2083333333334,19.916666666666668,9.666666666666666,13.791666666666666,83.20833333333333,16.875,19.0,20.25,0.0,11.6,5.0,2009,1,15,False
2009-01-16,0.0,27.0,15.0,66.16666666666667,1017.4583333333334,20.041666666666668,8.0,10.916666666666666,91.20833333333333,12.25,15.666666666666666,20.708333333333332,0.0,11.6,5.0,2009,1,16,False
2009-01-17,0.0,27.0,13.0,66.29166666666667,1016.25,19.875,8.333333333333334,11.083333333333334,91.20833333333333,10.541666666666666,16.25,20.458333333333332,0.0,11.6,4.0,2009,1,17,False
2009-01-18,0.0,27.0,13.0,60.25,1015.3333333333334,19.791666666666668,9.0,8.958333333333334,85.125,8.458333333333334,13.458333333333334,21.166666666666668,0.0,11.6,5.0,2009,1,18,False
2009-01-19,0.0,28.0,15.0,56.583333333333336,1014.4583333333334,20.541666666666668,9.0,10.375,97.625,3.0833333333333335,15.916666666666666,21.666666666666668,0.0,11.6,6.0,2009,1,19,False
2009-01-20,0.0,28.0,13.0,58.833333333333336,1014.75,20.208333333333332,8.666666666666666,11.125,90.0,5.833333333333333,15.75,21.375,0.0,11.6,6.0,2009,1,20,False
2009-01-21,0.0,30.0,12.0,54.25,1014.5416666666666,20.25,8.333333333333334,8.583333333333334,86.29166666666667,2.25,12.708333333333334,22.416666666666668,0.0,11.6,5.0,2009,1,21,False
2009-01-22,0.0,29.0,13.0,56.791666666666664,1013.5416666666666,20.541666666666668,10.0,9.0,97.95833333333333,0.75,12.916666666666666,22.5,0.0,11.6,6.0,2009,1,22,False
2009-01-23,0.0,30.0,14.0,52.166666666666664,1012.5416666666666,21.125,10.0,8.25,70.83333333333333,0.0,12.083333333333334,23.458333333333332,0.0,11.6,6.0,2009,1,23,False
2009-01-24,0.0,31.0,13.0,51.125,1012.2083333333334,21.25,10.0,9.666666666666666,111.95833333333333,0.2916666666666667,14.25,23.208333333333332,0.0,11.6,6.0,2009,1,24,False
2009-01-25,0.0,31.0,13.0,52.208333333333336,1012.6666666666666,21.833333333333332,8.75,9.166666666666666,103.45833333333333,13.375,14.0,23.125,0.0,11.6,6.0,2009,1,25,False
2009-01-26,0.0,30.0,14.0,59.625,1013.25,21.75,9.0,9.791666666666666,112.04166666666667,7.916666666666667,15.291666666666666,22.458333333333332,0.0,11.6,6.0,2009,1,26,False
2009-01-27,0.1,31.0,15.0,65.0,1013.0,23.25,8.75,7.458333333333333,122.04166666666667,41.541666666666664,10.958333333333334,23.833333333333332,0.0,11.6,6.0,2009,1,27,True
2009-01-28,0.30000000000000004,32.0,18.0,61.958333333333336,1012.5833333333334,24.458333333333332,8.75,7.666666666666667,138.5,28.75,10.916666666666666,25.208333333333332,0.0,11.6,5.0,2009,1,28,True
