month,year,rainy_day
1,2009,4
1,2010,9
1,2011,3
1,2012,1
1,2013,0
1,2014,1
1,2015,2
1,2016,6
1,2017,4
1,2018,1
1,2019,5
1,2020,1
2,2009,0
2,2010,1
2,2011,7
2,2012,0
2,2013,7
2,2014,6
2,2015,1
2,2016,0
2,2017,0
2,2018,4
2,2019,5
3,2009,14
3,2010,5
3,2011,5
3,2012,3
3,2013,4
3,2014,10
3,2015,16
3,2016,4
3,2017,13
3,2018,10
3,2019,4
4,2009,12
4,2010,15
4,2011,15
4,2012,12
4,2013,18
4,2014,10
4,2015,17
4,2016,12
4,2017,12
4,2018,13
4,2019,11
5,2009,24
5,2010,19
5,2011,25
5,2012,22
5,2013,17
5,2014,26
5,2015,20
5,2016,26
5,2017,24
5,2018,25
5,2019,23
6,2009,26
6,2010,26
6,2011,17
6,2012,19
6,2013,22
6,2014,13
6,2015,23
6,2016,29
6,2017,26
6,2018,23
6,2019,21
7,2009,19
7,2010,26
7,2011,25
7,2012,21
7,2013,26
7,2014,24
7,2015,19
7,2016,23
7,2017,21
7,2018,20
7,2019,22
8,2009,24
8,2010,27
8,2011,22
8,2012,23
8,2013,22
8,2014,27
8,2015,22
8,2016,22
8,2017,29
8,2018,26
8,2019,28
9,2009,26
9,2010,21
9,2011,19
9,2012,19
9,2013,24
9,2014,25
9,2015,26
9,2016,26
9,2017,24
9,2018,25
9,2019,27
10,2009,19
10,2010,28
10,2011,29
10,2012,20
10,2013,27
10,2014,21
10,2015,14
10,2016,14
10,2017,24
10,2018,14
10,2019,31
11,2009,26
11,2010,23
11,2011,13
11,2012,14
11,2013,10
11,2014,6
11,2015,26
11,2016,8
11,2017,15
11,2018,15
11,2019,17
12,2009,21
12,2010,18
12,2011,7
12,2012,5
12,2013,3
12,2014,9
12,2015,10
12,2016,7
12,2017,5
12,2018,9
12,2019,10
